ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,43,21,0,0,0,0,0,91,68,0,0,202,199,89,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,44,22,0,0,0,0,0,90,68,0,0,203,203,91,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,45,23,0,0,0,0,0,93,68,0,0,206,206,90,0,0,0,0,0,0,0,0,0,0,0
481661,29367,0,577,0,0,375,0,0,45,23,0,0,0,0,0,90,68,0,0,205,204,90,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,44,21,0,0,0,0,0,90,68,0,0,201,201,90,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,42,21,0,0,0,0,0,91,69,0,0,200,201,90,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,41,21,0,0,0,0,0,89,68,0,0,197,196,88,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,373,0,0,40,20,0,0,0,0,0,88,68,0,0,195,195,87,0,0,0,0,0,0,0,0,0,0,0
426512,29900,0,549,0,0,0,0,0,39,19,0,0,0,0,0,89,68,0,0,195,195,88,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,39,20,0,0,0,0,0,87,68,0,0,193,197,88,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,39,19,0,0,0,0,0,91,68,0,0,204,202,90,0,0,0,0,0,0,0,0,0,0,0
0,0,0,536,0,0,354,0,0,74,37,0,0,0,0,0,105,68,0,0,248,247,105,0,0,0,0,0,0,0,0,0,0,0
435294,27881,0,0,0,0,0,0,0,55,28,0,0,0,0,0,95,68,0,0,211,210,92,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,37,18,0,0,0,0,0,87,68,0,0,192,192,86,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,34,17,0,0,0,0,0,86,68,0,0,190,191,86,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,37,18,0,0,0,0,0,86,68,0,1,189,187,85,0,1,0,0,0,0,0,0,0,0,0
429762,29400,0,551,0,0,371,0,0,34,17,0,0,0,0,0,85,68,0,1,188,189,86,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,36,19,0,0,0,0,0,87,68,0,0,191,189,85,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,32,16,0,0,0,0,0,85,68,0,0,184,185,84,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,34,16,0,0,0,0,0,85,68,0,1,187,186,85,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,36,19,0,0,0,0,0,88,71,0,0,195,198,90,0,0,0,0,0,0,0,0,0,0,0
502112,40539,0,705,0,0,504,0,0,38,19,0,0,0,0,0,89,70,0,0,194,195,90,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,38,19,0,0,0,0,0,90,68,0,0,196,196,86,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,36,18,0,0,0,0,0,88,68,0,1,194,193,86,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,35,17,0,0,0,0,0,86,68,0,0,193,194,86,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,37,19,0,0,0,0,0,87,68,0,0,192,192,87,0,0,0,0,0,0,0,0,0,0,0
450844,34664,0,622,0,0,432,0,0,37,18,0,0,0,0,0,87,68,0,0,192,192,86,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,40,21,0,0,0,0,0,92,68,0,0,211,215,95,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,60,30,0,0,0,0,0,96,68,0,1,209,205,91,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,37,18,0,0,0,0,0,87,68,0,0,200,198,88,0,0,0,0,0,0,0,0,0,0,0
425832,28522,0,539,0,0,361,0,0,38,19,0,0,0,0,0,87,68,0,0,187,188,85,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,36,18,0,0,0,0,0,89,68,0,0,199,200,90,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,53,27,0,0,0,0,0,95,68,0,0,216,214,94,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,95,68,0,1,217,216,94,0,1,0,0,0,0,0,0,0,0,0
