ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
1771230,1469404,0,27640,0,0,27169,0,28583,28810,28555,0,0,0,0,0,68,68,0,2,57701,58301,29351,0,1,0,0,0,0,0,0,0,0,0
1871428,1552012,0,29211,0,0,28699,0,28440,28422,27739,0,0,0,0,0,68,68,0,1,53878,54089,27291,0,1,0,0,0,0,0,0,0,0,0
1850692,1534570,0,28888,0,0,28376,0,27640,27864,27201,0,0,0,0,0,68,68,0,0,54015,53464,27373,0,1,0,0,0,0,0,0,0,0,0
1771268,1487536,0,27645,0,0,27505,0,27384,28412,28414,0,0,0,0,0,68,68,0,2,57648,58107,29403,0,1,0,0,0,0,0,0,0,0,0
1810884,1508068,0,28264,0,0,27885,0,27571,27283,27246,0,0,0,0,0,68,68,0,1,52966,52870,26331,0,1,0,0,0,0,0,0,0,0,0
0,0,0,27685,0,0,27506,0,25437,25796,25612,0,0,0,0,0,68,68,0,1,50178,50447,25838,0,1,0,0,0,0,0,0,0,0,0
1773872,1487744,0,0,0,0,27198,0,26851,26609,26280,0,0,0,0,0,68,68,0,0,57036,56313,28073,0,1,0,0,0,0,0,0,0,0,0
1756912,1471084,0,54460,0,0,26748,0,28381,28992,28377,0,0,0,0,0,68,68,0,1,54074,54409,27421,0,0,0,0,3,0,0,0,0,0,0
1732440,2908413,0,27575,0,0,27031,0,26810,27449,26889,0,0,0,0,0,70,68,0,1,53137,52998,26292,0,1,0,0,0,0,0,0,0,0,0
1766604,0,0,0,0,0,25353,0,21023,20723,20520,0,0,0,0,0,71,68,0,0,30740,30095,15197,0,0,0,0,0,0,0,0,0,0,0
1641345,1371549,0,25611,0,0,0,0,16369,16644,16624,0,0,0,0,0,69,68,0,1,34298,34259,17194,0,1,0,0,0,0,0,0,0,0,0
1908455,1597252,0,29759,0,0,29500,0,16508,16538,16344,0,0,0,0,0,68,68,0,0,34306,34770,17652,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,27242,0,25476,26316,26290,0,0,0,0,0,68,68,0,1,63996,63960,32662,0,1,0,0,0,0,0,0,0,0,0
1769030,1473760,0,58265,0,0,29961,0,31761,31964,31437,0,0,0,0,0,68,68,0,1,54253,55674,28463,0,1,0,0,0,0,0,0,0,0,0
1964012,1619898,0,0,0,0,0,0,22981,23332,22156,0,0,0,0,0,68,68,0,1,43356,41638,19885,0,1,0,0,0,0,0,0,0,0,0
3036380,2519074,0,47384,0,0,46568,0,23984,24939,24959,0,0,0,0,0,68,68,0,2,47661,48772,25087,0,3,0,0,0,0,0,0,0,0,0
0,1505643,0,28735,0,0,27839,0,29608,31305,30227,0,0,0,0,0,68,68,0,3,62832,61760,31479,0,2,0,0,0,0,0,0,0,0,0
3715004,1538615,0,29242,0,0,28452,0,27051,27136,26523,0,0,0,0,0,68,68,0,0,56095,56887,29735,0,1,0,0,0,0,0,0,0,0,0
1846226,1446795,0,28813,0,0,26746,0,38309,42205,38248,0,0,0,0,0,68,68,0,3,68785,67759,33356,0,2,0,0,0,0,0,0,0,0,0
2262954,1777204,0,35322,0,0,32864,0,23579,24715,23639,0,0,0,0,0,68,68,0,1,55796,55879,28541,0,1,0,0,0,0,0,0,0,0,0
2080772,1664590,0,32481,0,0,30784,0,31322,33100,31747,0,0,0,0,0,71,73,0,2,63042,63645,32303,0,4,0,0,0,0,0,0,0,0,0
2143396,1728955,0,33441,0,0,31970,0,34975,37137,35446,0,0,0,0,0,72,68,0,3,72632,73854,37033,0,1,0,0,0,0,0,0,0,0,0
2773826,2249648,0,43311,0,0,41618,0,37040,37442,36460,0,0,0,0,0,68,68,0,2,67972,66720,33910,0,2,0,0,0,0,0,0,0,0,0
2156280,1768265,0,33652,0,0,32702,0,34982,37113,35385,0,0,0,0,0,68,68,0,1,68966,69552,35945,0,2,0,0,0,0,0,0,0,0,0
1939873,1560043,0,30286,0,0,28857,0,32845,34407,33639,0,0,0,0,0,68,68,0,2,72773,72701,37525,0,1,0,0,0,0,0,0,0,0,0
2805329,2281107,0,43798,0,0,42194,0,39485,39572,37743,0,0,0,0,0,68,68,0,1,58478,57304,28279,0,1,0,0,0,0,0,0,0,0,0
1912986,1576958,0,29858,0,0,29158,0,25442,26436,25551,0,0,0,0,0,68,68,0,0,64120,65500,34160,0,1,0,0,0,0,0,0,0,0,0
2048196,1716388,0,31972,0,0,31743,0,31727,31967,32220,0,0,0,0,0,68,68,0,1,49971,48424,23072,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,19626,19226,17994,0,0,0,0,0,68,68,0,0,34898,35320,17840,0,0,0,0,0,0,0,0,0,0,0
2325652,1939430,0,36285,0,0,35831,0,10257,10322,10341,0,0,0,0,0,68,68,0,0,17730,17232,8362,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10472,11159,12291,0,0,0,0,0,68,68,0,0,31827,34231,17857,0,0,0,0,0,0,0,0,0,0,0
1750707,1472492,0,27305,0,0,27189,0,24791,24755,24238,0,0,0,0,0,68,68,0,0,50731,49657,24737,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,18679,18162,17275,0,0,0,0,0,68,68,0,0,25280,24147,11351,0,0,0,0,0,0,0,0,0,0,0
2225937,1872616,0,34723,0,0,34589,0,10889,11636,12689,0,0,0,0,0,68,68,0,0,36751,38041,19163,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,23666,23849,23704,0,0,0,0,0,72,68,0,0,43953,42391,21181,0,0,0,0,0,0,0,0,0,0,0
