Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.2-192.168.1.10-49298-161-17,192.168.1.2,49298,192.168.1.10,161,17,25/02/2021 10:58:39 AM,6401,1,3,43.0,132.0,43.0,43.0,43.0,0.0,46.0,42.0,44.0,2.0,27339.47820653023,624.9023590064053,2133.6666666666665,3110.65464706922,5725.0,284.0,0,0,0,0,0,6401.0,3200.5,3971.8187899248373,6009.0,392.0,0,0,0,0,8,24,156.22558975160132,468.67676925480396,42.0,46.0,43.4,1.6733200530681511,2.8,0,0,0,0,0,0,0,0,3.0,54.25,43.0,44.0,0,0,0,0,0,0,1,43,3,132,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-36154-161-17,192.168.1.2,36154,192.168.1.10,161,17,25/02/2021 10:58:37 AM,3219,1,3,43.0,130.0,43.0,43.0,43.0,0.0,44.0,42.0,43.333333333333336,1.1547005383792515,53743.39857098478,1242.6219322771046,1073.0,1187.6969310392276,2441.0,305.0,0,0,0,0,0,3219.0,1609.5,1607.2537136370224,2746.0,473.0,0,0,0,0,8,24,310.65548306927616,931.9664492078285,42.0,44.0,43.0,1.0,1.0000000000000002,0,0,0,0,0,0,0,0,3.0,53.75,43.0,43.333333333333336,0,0,0,0,0,0,1,43,3,130,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-58711-161-17,192.168.1.2,58711,192.168.1.10,161,17,25/02/2021 10:58:34 AM,6573,1,3,45.0,137.0,45.0,45.0,45.0,0.0,46.0,45.0,45.666666666666664,0.5773502691896257,27689.030883919062,608.5501293169025,2191.0,2391.242982216571,4932.0,532.0,0,0,0,0,0,6573.0,3286.5,3895.4512575566905,6041.0,532.0,0,0,0,0,8,24,152.13753232922562,456.41259698767686,45.0,46.0,45.4,0.5477225575051664,0.30000000000000027,0,0,0,0,0,0,0,0,3.0,56.75,45.0,45.666666666666664,0,0,0,0,0,0,1,45,3,137,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-37554-161-17,192.168.1.2,37554,192.168.1.10,161,17,25/02/2021 10:58:39 AM,3259,1,3,43.0,142.0,43.0,43.0,43.0,0.0,54.0,42.0,47.333333333333336,6.110100926607787,56765.87910401964,1227.3703590058299,1086.3333333333333,920.6640719248978,2090.0,281.0,0,0,0,0,0,3259.0,1629.5,1048.63935649965,2371.0,888.0,0,0,0,0,8,24,306.84258975145747,920.5277692543724,42.0,54.0,45.4,5.079370039680118,25.8,0,0,0,0,0,0,0,0,3.0,56.75,43.0,47.333333333333336,0,0,0,0,0,0,1,43,3,142,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-39541-161-17,192.168.1.2,39541,192.168.1.10,161,17,25/02/2021 10:58:31 AM,23844,1,3,43.0,130.0,43.0,43.0,43.0,0.0,44.0,42.0,43.333333333333336,1.1547005383792515,7255.494044623385,167.7570877369569,7948.0,10998.044189763923,20584.0,532.0,0,0,0,0,0,23844.0,11922.0,16107.892475429553,23312.0,532.0,0,0,0,0,8,24,41.93927193423922,125.81781580271766,42.0,44.0,43.0,1.0,1.0000000000000002,0,0,0,0,0,0,0,0,3.0,53.75,43.0,43.333333333333336,0,0,0,0,0,0,1,43,3,130,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-42757-161-17,192.168.1.2,42757,192.168.1.10,161,17,25/02/2021 10:58:34 AM,3961,1,3,45.0,141.0,45.0,45.0,45.0,0.0,48.0,45.0,47.0,1.7320508075688772,46957.83892956324,1009.845998485231,1320.3333333333335,1864.5053857077842,3473.0,214.0,0,0,0,0,0,3961.0,1980.5,2413.3554441896868,3687.0,274.0,0,0,0,0,8,24,252.46149962130775,757.3844988639232,45.0,48.0,46.2,1.6431676725154984,2.7,0,0,0,0,0,0,0,0,3.0,57.75,45.0,47.0,0,0,0,0,0,0,1,45,3,141,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-41291-161-17,192.168.1.2,41291,192.168.1.10,161,17,25/02/2021 10:58:45 AM,2110,1,3,43.0,134.0,43.0,43.0,43.0,0.0,46.0,42.0,44.666666666666664,2.309401076758503,83886.25592417062,1895.7345971563982,703.3333333333333,850.561187295384,1685.0,186.0,0,0,0,0,0,2110.0,1055.0,1153.9982668964456,1871.0,239.0,0,0,0,0,8,24,473.93364928909955,1421.8009478672986,42.0,46.0,43.8,2.04939015319192,4.2,0,0,0,0,0,0,0,0,3.0,54.75,43.0,44.666666666666664,0,0,0,0,0,0,1,43,3,134,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
169.254.192.93-224.0.0.251-5353-5353-17,169.254.192.93,5353,224.0.0.251,5353,17,25/02/2021 10:58:37 AM,996224,1,1,28.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,0.0,56.21225748426057,2.0075806244378773,996224.0,0.0,996224.0,996224.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.0037903122189387,1.0037903122189387,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,42.0,28.0,28.0,0,0,0,0,0,0,1,28,1,28,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-53324-161-17,192.168.1.2,53324,192.168.1.10,161,17,25/02/2021 10:58:45 AM,9342,1,3,43.0,142.0,43.0,43.0,43.0,0.0,54.0,42.0,47.333333333333336,6.110100926607787,19803.040034253907,428.1738385784629,3114.0,4652.778847097721,8483.0,260.0,0,0,0,0,0,9342.0,4671.0,5758.677625983243,8743.0,599.0,0,0,0,0,8,24,107.04345964461572,321.13037893384717,42.0,54.0,45.4,5.079370039680118,25.8,0,0,0,0,0,0,0,0,3.0,56.75,43.0,47.333333333333336,0,0,0,0,0,0,1,43,3,142,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-34158-161-17,192.168.1.2,34158,192.168.1.10,161,17,25/02/2021 10:58:30 AM,4286,1,3,43.0,132.0,43.0,43.0,43.0,0.0,46.0,42.0,44.0,2.0,40830.6112925805,933.2711152589827,1428.6666666666667,1117.2100667883965,2717.0,727.0,0,0,0,0,0,4286.0,2143.0,1839.8918446473967,3444.0,842.0,0,0,0,0,8,24,233.31777881474568,699.953336444237,42.0,46.0,43.4,1.6733200530681513,2.8000000000000007,0,0,0,0,0,0,0,0,3.0,54.25,43.0,44.0,0,0,0,0,0,0,1,43,3,132,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
