Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1.2.3.4-63.6.195.26-0-0-0,63.6.195.26,0,1.2.3.4,0,0,10/11/2020 12:56:12 AM,76057217,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026295992397407864,7.6057217E7,0.0,7.6057217E7,7.6057217E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013147996198703932,0.013147996198703932,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,7.6057217E7,0.0,7.6057217E7,7.6057217E7,No Label
1.2.3.4-63.6.219.31-0-0-0,63.6.219.31,0,1.2.3.4,0,0,10/11/2020 12:56:34 AM,8060946,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2481098372325035,8060946.0,0.0,8060946.0,8060946.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12405491861625174,0.12405491861625174,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,8060946.0,0.0,8060946.0,8060946.0,No Label
1.2.3.4-63.6.138.91-0-0-0,63.6.138.91,0,1.2.3.4,0,0,10/11/2020 12:56:13 AM,87504655,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022855926921830617,8.7504655E7,0.0,8.7504655E7,8.7504655E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011427963460915309,0.011427963460915309,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,8.7504655E7,0.0,8.7504655E7,8.7504655E7,No Label
1.2.3.4-63.6.105.183-0-0-0,63.6.105.183,0,1.2.3.4,0,0,10/11/2020 12:56:38 AM,65258501,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030647348151622424,6.5258501E7,0.0,6.5258501E7,6.5258501E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015323674075811212,0.015323674075811212,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,6.5258501E7,0.0,6.5258501E7,6.5258501E7,No Label
1.2.3.4-63.6.239.38-0-0-0,63.6.239.38,0,1.2.3.4,0,0,10/11/2020 12:56:16 AM,112387921,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017795506689726914,1.12387921E8,0.0,1.12387921E8,1.12387921E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008897753344863457,0.008897753344863457,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.12387921E8,0.0,1.12387921E8,1.12387921E8,No Label
1.2.3.4-63.6.94.6-0-0-0,63.6.94.6,0,1.2.3.4,0,0,10/11/2020 12:56:51 AM,63531416,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031480488330371856,6.3531416E7,0.0,6.3531416E7,6.3531416E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015740244165185928,0.015740244165185928,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,6.3531416E7,0.0,6.3531416E7,6.3531416E7,No Label
1.2.3.4-63.6.82.209-0-0-0,63.6.82.209,0,1.2.3.4,0,0,10/11/2020 12:56:24 AM,65571130,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030501228208206877,6.557113E7,0.0,6.557113E7,6.557113E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015250614104103439,0.015250614104103439,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,6.557113E7,0.0,6.557113E7,6.557113E7,No Label
1.2.3.4-63.6.220.252-0-0-0,63.6.220.252,0,1.2.3.4,0,0,10/11/2020 12:56:34 AM,4668679,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283867021056706,4668679.0,0.0,4668679.0,4668679.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2141933510528353,0.2141933510528353,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
1.2.3.4-63.6.61.119-0-0-0,63.6.61.119,0,1.2.3.4,0,0,10/11/2020 12:56:13 AM,110244709,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01814146019470195,1.10244709E8,0.0,1.10244709E8,1.10244709E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009070730097350975,0.009070730097350975,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.10244709E8,0.0,1.10244709E8,1.10244709E8,No Label
1.2.3.4-63.6.183.118-0-0-0,63.6.183.118,0,1.2.3.4,0,0,10/11/2020 12:56:48 AM,38400563,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05208256972690739,3.8400563E7,0.0,3.8400563E7,3.8400563E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026041284863453695,0.026041284863453695,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,3.8400563E7,0.0,3.8400563E7,3.8400563E7,No Label
